condition,beta_param,TBR,PAF,phi_mean,phi_std,PLV_mean,PLV_std,beta0_mean,beta0_std,beta1_mean,beta1_std
Controle,0.8110112,22.247200000000003,10.0,62.131180479169636,0.49066825453098184,0.9320171181154696,0.011071651564931078,1.06,0.31048349392520047,2.28,5.110929465371245
TDAH,0.4248448,118.78880000000001,9.0,62.074680130495445,0.6805013005330108,0.9306483446086219,0.013831327203786006,1.12,0.4749736834815167,2.36,5.677182399747255
TEA,0.7935832,26.604199999999995,10.36,62.06735554165737,0.6477789840786746,0.931061483388048,0.010261535676014275,1.12,0.3815756805667783,2.1,4.830113870293329
Superdotado,0.8607764,9.805900000000001,11.0,62.215651133520794,0.3342475704105758,0.9330175495625336,0.009144911122918332,1.08,0.33704599092705434,1.54,4.464123654201348
