condition,beta,TBR,PAF,phi_final,phi_mean,phi_std,phi_max,phi_convergence
Controle,0.8110112,22.247200000000003,10.0,1.2220171140433626e-15,5.117797457310749e-11,1.1554758014295626e-10,6.247310656893715e-10,"[2.0502379382636984e-14, 1.497248032629511e-14, 1.0938365950583886e-14, 7.993623711625093e-15, 5.843047718579077e-15, 4.2718701219372575e-15, 3.1236531360091898e-15, 2.284339773620654e-15, 1.6707118113493312e-15, 1.2220171140433626e-15]"
TDAH,0.4248448,118.78880000000001,9.0,9.250897346322558e-16,4.134007592023535e-11,1.1539403756364323e-10,5.817402461093256e-10,"[1.5412203006750884e-14, 1.1273866421848965e-14, 8.24702189158843e-15, 6.0330332635514285e-15, 4.413538609485902e-15, 3.2288602136970354e-15, 2.3622250509205646e-15, 1.7282309018705124e-15, 1.264414951767772e-15, 9.250897346322558e-16]"
TEA,0.7935832,26.604199999999995,10.36,1.346772547760571e-15,3.675377346067111e-11,1.1173764758637979e-10,6.495686483209883e-10,"[2.2459730029305086e-14, 1.6426163882530797e-14, 1.2014178040349872e-14, 8.787692537694796e-15, 6.427994521985317e-15, 4.702115967411185e-15, 3.4397433220957005e-15, 2.5163529974996764e-15, 1.8408913195013586e-15, 1.346772547760571e-15]"
Superdotado,0.8607764,9.805900000000001,11.0,1.1760211794753176e-14,5.303008850206576e-11,1.1010874644062193e-10,6.159775476053966e-10,"[1.9626474665440493e-13, 1.435457338383337e-13, 1.0498616627385758e-13, 7.678517124250896e-14, 5.616064399013856e-14, 4.107708440129428e-14, 3.00456475897094e-14, 2.1977506282411045e-14, 1.607643884644337e-14, 1.1760211794753176e-14]"
