condition,trial,beta,g,alpha,delay_ms,phi_final,phi_mean,phi_max,stability
Controle,0,0.7981583282042074,1.802286846366801,4.67499661046576e-12,107.86277436758867,5.508120249668872e-10,1.092494638082154e-08,4.7174661467858395e-08,0.9999999864322391
Controle,1,0.7942336031672123,1.596163395003867,3.8708816897892465e-12,103.13588009260064,6.151142825698686e-10,1.052835695236799e-08,3.908358262200503e-08,0.9999999877369289
Controle,2,0.861587605259161,1.828781477618169,4.426372115735727e-12,98.79323064741182,7.525492828862821e-10,1.1137047641315433e-08,4.1076365924648916e-08,0.9999999879583449
Controle,3,0.8743376266408492,1.5587623594543791,4.0846501925766e-12,100.76554479089661,1.0157613712953589e-10,8.339599612719211e-09,4.03657532055509e-08,0.9999999872869957
Controle,4,0.7984897503109767,1.8313400722727735,4.53117855788046e-12,107.84754229186599,2.829915403207568e-10,9.446913879182338e-09,4.174510034346826e-08,0.9999999878077498
Controle,5,0.8917850986684517,1.736822657338663,4.643433894392601e-12,105.72499656497456,7.607212911227943e-10,9.99038804337491e-09,3.758012404977149e-08,0.999999989796787
Controle,6,0.8185659170604141,1.8975121926877676,4.557247602259725e-12,98.26269042662699,1.63392169740576e-09,9.478952754977284e-09,3.838955597287899e-08,0.9999999899680548
Controle,7,0.7744531402432058,1.8874618636046516,4.497163577130072e-12,109.71372147747293,3.75512772956313e-10,1.1775028274242967e-08,3.7349878118008195e-08,0.9999999885447882
Controle,8,0.8283232979497903,1.7322411889958365,4.0291971625456826e-12,95.33132114084363,2.2751437094222564e-09,1.478042678673656e-08,4.390313726221312e-08,0.9999999886586729
Controle,9,0.8257640565244185,1.5945938281296648,3.996431295086789e-12,90.71775457645288,1.1654102771623372e-10,7.808580267317403e-09,2.96023526484218e-08,0.999999990171376
Controle,10,0.7665993548258164,1.6608062869989266,3.929933852123253e-12,98.92900182222726,2.8893295152348493e-10,1.090732954065826e-08,4.275771488028e-08,0.999999986358991
Controle,11,0.7569231164944727,1.6206090503182398,4.467103216498842e-12,107.7603968849295,2.681679131079912e-11,6.3545694852401446e-09,4.175653118047969e-08,0.9999999873032018
Controle,12,0.7313663940380186,1.6689294381977149,4.500241649075607e-12,100.0216310505408,4.481028555499525e-10,1.1912129702893514e-08,3.851760581765754e-08,0.9999999871378186
Controle,13,0.8623785695258291,1.6307705298514517,4.514998610537679e-12,100.12158694427853,7.309764327034341e-11,7.208132554032594e-09,3.702025167076027e-08,0.9999999888119117
Controle,14,0.7307679685195348,1.6405573825962583,4.284428444244625e-12,104.27194518849963,1.860068761628205e-11,9.038992409382797e-09,3.73212292273775e-08,0.9999999861236024
Controle,15,0.8249726555131365,1.5578646929906825,4.246972903634281e-12,95.31236079402473,8.323707823717225e-10,9.387647704157186e-09,3.666169514409905e-08,0.9999999898163182
Controle,16,0.8582621742887354,1.6330934072473822,4.415987903978998e-12,91.15762039169448,4.4738726757878246e-10,1.1172799009592174e-08,3.669316344993056e-08,0.9999999889239951
Controle,17,0.7720110528547147,1.6303689662068652,4.248530437389899e-12,92.68409380023331,1.0143308876963897e-09,9.874355860032667e-09,3.932039930373996e-08,0.9999999887999694
Controle,18,0.7803703295845111,1.884792756142117,4.2040153753103545e-12,105.79150591638988,3.4798307776884205e-10,1.2792270816670659e-08,4.1096072669373374e-08,0.9999999867347453
Controle,19,0.8573414203112957,1.6356139215701049,4.562461565892377e-12,99.60102260606757,7.84803188700526e-12,5.916318295920199e-09,4.0130511708113975e-08,0.9999999878359372
Controle,20,0.7460242969564336,1.6649786474203874,4.590569436355477e-12,105.77042805854728,1.2550105946957974e-09,1.6662140932731035e-08,3.84907457014258e-08,0.9999999873346065
Controle,21,0.8820270103778817,1.8825574943794445,4.1358559820467026e-12,99.12728504631288,3.702239449633631e-09,1.3631314497983702e-08,3.67802557687404e-08,0.9999999897523243
Controle,22,0.8768921865003969,1.7631334446829359,4.639117818905831e-12,106.9328267587245,1.2691843379072097e-09,1.555258277360384e-08,3.76666904958905e-08,0.9999999881138112
Controle,23,0.7470900116227618,1.7812569990080511,3.940435195255791e-12,108.13253131510746,7.56157035881806e-09,2.398491765635005e-08,4.50359380467432e-08,0.9999999890056895
Controle,24,0.8193571463144704,1.7273376043892692,4.542982622694328e-12,93.4700092006357,3.349594842652505e-11,8.434425570219263e-09,3.946399015598376e-08,0.9999999871088149
Controle,25,0.7890226852594509,1.6847394676572038,4.389705082663502e-12,100.75967739369709,2.6038164298881042e-09,1.6265943017030345e-08,3.8392210981336855e-08,0.9999999897946222
Controle,26,0.885312272576688,1.7912817628988589,3.971270545360656e-12,101.97107145674997,4.949223664589007e-11,6.874331352475156e-09,4.027316949375214e-08,0.9999999878508173
Controle,27,0.8844612947775197,1.5874265151147298,4.049223824342998e-12,96.36034843291169,3.806035187128432e-10,1.1184103081202403e-08,4.3247999620558725e-08,0.9999999870576854
Controle,28,0.7898404861111797,1.8080688709411146,4.5007811031700735e-12,100.96166101817354,1.535871782589804e-11,4.957548558156629e-09,3.673098621301075e-08,0.9999999890753434
Controle,29,0.7919175974874113,1.8960803564130815,4.541661553209757e-12,99.70887284880584,2.846728546819428e-10,1.0760753290987892e-08,4.524928377052924e-08,0.999999986084317
Controle,30,0.7299264487932364,1.667549764806286,4.511135543943085e-12,90.57224668051941,7.670037531899389e-11,7.162361060165759e-09,3.861651512907727e-08,0.9999999883232132
Controle,31,0.8832948552697075,1.8295936842501397,3.962867586126621e-12,96.71679526471004,2.1957259917767403e-10,1.0076284023565641e-08,4.5104939662839674e-08,0.9999999857446431
Controle,32,0.7304273169084107,1.901643832685609,4.228425168496217e-12,91.36906613365718,4.145410304976139e-09,1.3030953033323652e-08,3.532251254252136e-08,0.9999999910452767
Controle,33,0.8458428475926426,1.8248460462596012,3.850076700014947e-12,104.32679958570905,6.193428598810075e-10,1.1976291664309523e-08,4.234359697020874e-08,0.9999999877608684
Controle,34,0.7350501965367356,1.8356063140446524,4.392094695154966e-12,104.86126729253031,7.532518374507246e-10,1.079813112785674e-08,4.380773386364792e-08,0.9999999882055491
Controle,35,0.7600890806683882,1.7067243584064569,4.116430590903674e-12,104.16849945372144,1.9077443416137143e-10,1.474335559992282e-08,4.1920225853432615e-08,0.999999983453207
Controle,36,0.8902930064950075,1.638416718261277,4.637031970977693e-12,98.00454768988979,3.846304136333128e-10,9.540152926559374e-09,3.795512406070546e-08,0.9999999877626232
Controle,37,0.7861426463616807,1.8972537507636849,4.638162036367778e-12,95.22801780183218,1.9706613694650058e-10,9.079392271368088e-09,3.6332020326581206e-08,0.9999999883861451
Controle,38,0.8509816461654618,1.8660254624990278,4.295700238505025e-12,95.06056402382193,1.0623931903710336e-10,6.983318588200492e-09,3.8755264227091826e-08,0.99999998862148
Controle,39,0.7648642504899269,1.849873889084711,4.277793211269069e-12,103.8280641440392,1.2444964556657358e-10,8.95566253633707e-09,4.190893682081652e-08,0.999999987460256
Controle,40,0.7365094801530541,1.8104870938767497,4.6776730321842336e-12,95.21045503625037,6.606941292794098e-11,8.773935910199583e-09,4.0243240657583264e-08,0.9999999871232873
Controle,41,0.8821693381655821,1.8411611095579237,3.958562528829752e-12,92.64860121573003,3.793334778590108e-10,1.2707686256544748e-08,3.9834339012748954e-08,0.9999999855545896
Controle,42,0.7616247302527717,1.624687774312378,4.058370728717762e-12,90.98632730912554,9.046505833772265e-11,7.021506913163421e-09,3.4405505331001115e-08,0.9999999892337251
Controle,43,0.7484726603742493,1.770777083606886,4.460366484131679e-12,102.14310403626105,3.9671918863844145e-11,7.724586185563407e-09,4.1517476736443955e-08,0.9999999872236384
Controle,44,0.8265247826635376,1.5754135559329716,4.2067453937406114e-12,103.17921165063844,1.65570210809621e-10,1.016436365143674e-08,3.983706252590971e-08,0.9999999865069025
Controle,45,0.8059157290867565,1.8696193166872328,4.2748293572484515e-12,93.61982648792876,1.191750231043205e-10,8.303115730141635e-09,4.2915471287428394e-08,0.9999999874126301
Controle,46,0.7641307494683748,1.8019884600779286,4.268220915143451e-12,108.44697813590618,1.1423946970794781e-10,7.830600563756363e-09,4.093086947502403e-08,0.9999999876051263
Controle,47,0.8012828640437548,1.8931548851929538,4.264370649147141e-12,105.057927783815,1.0137181835142177e-10,8.929710034362828e-09,3.880936309300802e-08,0.9999999877261202
Controle,48,0.8860913290301783,1.8570866543145,4.285141287548275e-12,107.12211624891772,8.794178464987226e-10,1.3528852142313657e-08,4.11084474686465e-08,0.9999999879661258
