condition,g,beta,alpha_N,energy_init,energy_final,energy_ratio,Phi_init,Phi_final,phase_var_init,phase_var_final,norm_final,time_s
Controle,1.19,0.88,0.05,0.09772731038273294,0.01486472953929268,0.15210415047612583,3.927436535327208,1.2240399675601092,0.7738095238095235,2.7503425664610632,1.0,0.20517277717590332
TDAH,1.14,0.59,0.03,0.09362112087085343,0.01489843342085196,0.15913538810852534,3.927436535327208,1.2703386229651803,0.7738095238095235,2.7577540010738977,0.9999999999999998,0.19306707382202148
TEA,1.31,0.78,0.08,0.10758216521124384,0.01631471009307452,0.15164883552840525,3.927436535327208,1.2209813283753645,0.7738095238095235,2.7492997274827657,1.0,0.1956021785736084
Superdotado,1.23,0.89,0.06,0.10101226199223656,0.01524647483102055,0.15093687157603355,3.927436535327208,1.2161831971203574,0.7738095238095235,2.749618817886752,1.0000000000000004,0.18996238708496094
