condition,TBR_target,TBR_dacm,PAF_target,PAF_dacm,SNR_dacm,SCI_dacm,P_theta_dacm,P_gamma_dacm
Controle,22.247200000000003,2.0768965290918455,10.0,12.600000000000001,-1.12842707155132e-10,0.42524882433784394,536.4649388444752,2202.679731822825
TDAH,118.78880000000001,2.212329345715319,9.0,12.600000000000001,-3.4007490271868094e-11,0.4269163459455748,1882.574456750832,7362.14538694021
TEA,26.604199999999995,2.127742058429626,10.36,12.600000000000001,-1.1123035162973134e-11,0.4349064716507365,5531.151019564518,22694.76446636237
Superdotado,9.805900000000001,2.072958172803539,11.0,11.0,-2.0991721374305913e-10,0.41682443060128627,283.0837475561625,1178.9513786363175
