text_preview,condition,phi_initial,phi_final,phi_delta,R_delta,Re_S,NPC,NPC_category,norm_conserved,beta,g
A consciência emerge da integração harmônica entre,Controle,0.29115317077696784,0.2544453022538918,-0.03670786852307606,1.0,0.04875886641156061,72.6907361111111,BOM,1.0000000000000002,0.8706,0.7060000000000001
Fragmentação e desconexão caracterizam a experiênc,TEA,0.30191890202378807,0.3052058472272215,0.0032869452034334223,1.0,0.05351017134055691,58.35326388888888,COMPROMETIDO,1.0000000000000002,0.7974,0.7300000000000001
Transcendência e criatividade são a essência da su,Superdotado,0.30006833480791206,0.2923120544609359,-0.007756280346976174,1.0,0.03921581778115039,84.59466666666668,ÓTIMO,0.9999999999999998,0.8976000000000001,0.8220000000000001
