condition,beta,delay_ms,g,alpha,phi_final,phi_mean,phi_max,R_delta_final,ReS_final,elapsed_time
Controle,0.8110112,100.0,1.7307400000000002,4.2707599999999995e-12,9.67778206915027e-09,6.9422148778251455e-06,6.359900492295631e-05,0.01,0.0013615728578064193,0.06947636604309082
TDAH,0.4248448,111.11111111111111,1.74328,7.804909999999999e-12,9.69789476410161e-09,6.943064938441438e-06,6.359862657588589e-05,0.009,0.001362871067263689,0.06245112419128418
TEA,0.7935832,96.52509652509653,1.70586,1.367512e-11,9.652460856706211e-09,6.940508850525913e-06,6.35990885508905e-05,0.01036,0.0013597990997019764,0.06489443778991699
Superdotado,0.8607764,90.9090909090909,1.6884799999999998,3.1071799999999997e-12,9.676261206502726e-09,6.942502608449422e-06,6.359930653979114e-05,0.011000000000000001,0.0013613587916997945,0.0681915283203125
